sample_id,split,seed
315,train,42
316,train,42
317,train,42
318,test,42
319,train,42
320,train,42
321,train,42
322,test,42
323,train,42
324,test,42
325,train,42
326,train,42
327,train,42
328,test,42
329,train,42
330,train,42
331,train,42
332,train,42
333,train,42
334,train,42
335,train,42
336,train,42
337,train,42
338,train,42
339,train,42
340,train,42
341,train,42
342,train,42
343,train,42
344,train,42
345,train,42
346,test,42
347,train,42
348,train,42
349,train,42
350,train,42
351,test,42
352,train,42
353,train,42
354,train,42
355,test,42
356,train,42
357,train,42
358,train,42
359,train,42
360,train,42
361,train,42
362,train,42
363,train,42
364,train,42
365,test,42
366,train,42
367,train,42
368,train,42
369,train,42
370,train,42
371,train,42
372,test,42
373,train,42
374,train,42
375,train,42
376,train,42
377,train,42
378,train,42
379,train,42
380,train,42
381,train,42
382,train,42
383,train,42
384,train,42
385,train,42
386,train,42
387,train,42
388,train,42
389,test,42
390,test,42
391,train,42
392,train,42
393,train,42
394,train,42
395,train,42
396,train,42
397,train,42
398,train,42
399,train,42
400,train,42
401,test,42
402,train,42
403,train,42
404,train,42
405,train,42
406,train,42
407,train,42
408,train,42
409,train,42
410,test,42
411,train,42
412,test,42
413,train,42
414,train,42
415,train,42
416,test,42
417,train,42
418,test,42
419,test,42
420,train,42
421,train,42
422,test,42
423,train,42
424,train,42
425,train,42
426,train,42
427,train,42
428,test,42
429,train,42
430,train,42
431,test,42
432,train,42
433,train,42
434,train,42
435,train,42
436,train,42
437,train,42
438,train,42
439,train,42
440,train,42
441,train,42
442,train,42
443,test,42
444,train,42
445,train,42
446,train,42
447,test,42
448,train,42
449,train,42
450,train,42
451,train,42
452,train,42
453,train,42
454,train,42
455,test,42
456,train,42
457,test,42
458,train,42
459,train,42
460,train,42
461,train,42
462,train,42
463,train,42
464,train,42
465,train,42
466,train,42
467,test,42
468,train,42
469,train,42
470,test,42
471,train,42
472,train,42
473,test,42
474,test,42
475,train,42
476,train,42
477,test,42
478,train,42
479,train,42
480,train,42
481,train,42
482,train,42
483,test,42
484,train,42
485,train,42
486,train,42
487,train,42
488,test,42
489,test,42
490,train,42
491,train,42
492,train,42
493,test,42
494,train,42
495,train,42
496,test,42
497,train,42
498,test,42
499,train,42
500,train,42
501,test,42
502,train,42
503,train,42
504,train,42
505,train,42
506,test,42
507,train,42
508,train,42
509,train,42
510,train,42
511,train,42
512,train,42
513,train,42
514,test,42
515,train,42
516,test,42
517,test,42
518,train,42
519,train,42
520,train,42
521,train,42
522,train,42
523,train,42
524,test,42
525,test,42
526,train,42
527,test,42
528,train,42
529,train,42
530,test,42
531,test,42
532,test,42
533,train,42
534,train,42
535,test,42
536,test,42
537,train,42
538,train,42
539,train,42
540,train,42
541,test,42
542,test,42
543,train,42
544,train,42
545,train,42
546,train,42
547,train,42
548,train,42
549,train,42
550,train,42
551,test,42
552,train,42
553,train,42
554,train,42
555,train,42
556,train,42
557,train,42
558,train,42
559,train,42
560,train,42
561,train,42
562,test,42
563,train,42
564,train,42
565,test,42
566,train,42
567,test,42
568,test,42
569,train,42
570,train,42
571,train,42
572,train,42
573,train,42
574,train,42
575,test,42
576,train,42
577,train,42
578,train,42
579,train,42
580,train,42
581,train,42
582,train,42
583,train,42
584,train,42
585,train,42
586,train,42
587,train,42
588,train,42
589,test,42
590,train,42
591,train,42
592,train,42
593,test,42
594,train,42
595,test,42
596,train,42
597,train,42
598,train,42
599,train,42
600,train,42
601,train,42
602,train,42
603,test,42
604,train,42
605,train,42
606,train,42
607,test,42
608,train,42
609,train,42
610,train,42
611,train,42
612,train,42
613,train,42
614,train,42
615,train,42
616,train,42
617,train,42
618,test,42
619,train,42
620,test,42
621,train,42
622,train,42
623,test,42
624,train,42
625,train,42
626,test,42
627,test,42
628,train,42
629,train,42
630,train,42
631,test,42
632,train,42
633,train,42
634,test,42
635,test,42
636,train,42
637,train,42
638,train,42
639,train,42
640,train,42
641,test,42
642,train,42
643,train,42
644,train,42
645,train,42
646,train,42
647,train,42
648,train,42
649,train,42
650,train,42
651,train,42
652,train,42
653,train,42
654,train,42
655,test,42
656,train,42
657,train,42
658,train,42
659,test,42
660,train,42
661,train,42
662,test,42
663,train,42
664,test,42
665,train,42
666,train,42
667,train,42
668,test,42
669,train,42
670,train,42
671,train,42
672,test,42
673,train,42
674,train,42
675,train,42
676,test,42
677,train,42
678,train,42
679,train,42
680,train,42
681,test,42
682,train,42
683,train,42
684,train,42
685,train,42
686,train,42
687,test,42
688,train,42
689,train,42
690,train,42
691,train,42
692,train,42
693,train,42
694,test,42
695,test,42
696,train,42
697,test,42
698,train,42
699,train,42
700,train,42
701,train,42
702,train,42
703,test,42
704,train,42
705,train,42
706,train,42
707,train,42
708,train,42
709,test,42
710,test,42
711,test,42
712,train,42
713,train,42
714,test,42
715,train,42
716,train,42
717,train,42
718,train,42
719,train,42
720,test,42
721,train,42
722,train,42
723,train,42
724,train,42
725,test,42
726,train,42
727,test,42
728,train,42
729,train,42
730,test,42
731,test,42
732,test,42
733,train,42
734,train,42
735,train,42
736,train,42
737,train,42
738,train,42
739,train,42
740,train,42
741,test,42
742,train,42
743,train,42
744,train,42
745,train,42
746,train,42
747,train,42
748,train,42
749,train,42
750,test,42
751,train,42
752,train,42
753,train,42
754,train,42
755,train,42
756,train,42
757,train,42
758,train,42
759,train,42
760,train,42
761,train,42
762,train,42
763,test,42
764,train,42
765,train,42
766,train,42
767,train,42
768,train,42
769,test,42
770,test,42
771,train,42
772,test,42
773,train,42
774,train,42
775,train,42
776,test,42
777,train,42
778,test,42
779,test,42
780,train,42
781,train,42
782,train,42
783,train,42
784,test,42
785,test,42
786,train,42
787,train,42
788,train,42
789,train,42
790,test,42
791,train,42
792,train,42
793,test,42
794,train,42
795,train,42
796,train,42
797,train,42
798,train,42
799,train,42
800,train,42
801,test,42
802,train,42
803,test,42
804,train,42
805,train,42
806,train,42
807,train,42
808,train,42
809,train,42
810,train,42
811,test,42
812,train,42
813,train,42
814,train,42
815,train,42
816,train,42
817,test,42
818,train,42
819,train,42
820,train,42
821,train,42
822,train,42
823,train,42
824,test,42
825,train,42
826,train,42
827,train,42
828,train,42
829,train,42
830,train,42
831,test,42
832,train,42
833,train,42
834,train,42
835,train,42
836,train,42
837,train,42
838,train,42
839,train,42
840,train,42
841,test,42
842,train,42
843,train,42
844,train,42
845,test,42
846,train,42
847,train,42
848,test,42
849,train,42
850,train,42
851,test,42
852,train,42
853,train,42
854,train,42
855,train,42
856,train,42
857,train,42
858,train,42
859,train,42
860,train,42
861,test,42
862,train,42
863,train,42
864,train,42
865,train,42
866,train,42
867,test,42
868,train,42
869,train,42
870,train,42
871,train,42
872,train,42
873,train,42
874,test,42
875,train,42
876,train,42
877,train,42
878,train,42
879,train,42
880,train,42
881,train,42
882,train,42
883,train,42
884,train,42
885,train,42
886,train,42
887,train,42
888,train,42
889,train,42
890,test,42
891,train,42
892,train,42
893,train,42
894,train,42
895,train,42
896,train,42
897,train,42
898,test,42
899,test,42
900,train,42
901,train,42
902,train,42
903,train,42
904,train,42
905,train,42
906,train,42
907,test,42
908,test,42
909,test,42
910,train,42
911,train,42
912,train,42
913,train,42
914,train,42
915,train,42
916,test,42
917,train,42
918,train,42
919,train,42
920,train,42
921,train,42
922,train,42
923,train,42
924,train,42
925,test,42
926,train,42
927,train,42
928,train,42
929,test,42
930,test,42
931,train,42
932,train,42
933,train,42
934,train,42
935,test,42
936,train,42
937,train,42
938,train,42
939,train,42
940,train,42
941,test,42
942,train,42
943,test,42
944,train,42
945,train,42
946,train,42
947,test,42
948,train,42
949,test,42
950,test,42
951,train,42
952,test,42
953,train,42
954,train,42
955,train,42
956,train,42
957,test,42
958,train,42
959,train,42
960,test,42
961,test,42
962,train,42
963,train,42
964,train,42
965,train,42
966,train,42
967,train,42
968,train,42
969,test,42
970,train,42
971,test,42
972,train,42
973,train,42
974,train,42
975,train,42
976,test,42
977,test,42
978,train,42
979,train,42
980,train,42
981,train,42
982,test,42
983,train,42
984,test,42
985,train,42
986,train,42
987,train,42
988,train,42
989,test,42
990,train,42
991,test,42
992,train,42
993,test,42
994,train,42
995,train,42
996,train,42
997,test,42
998,train,42
999,train,42
1000,train,42
1001,test,42
1002,train,42
1003,test,42
1004,train,42
1005,train,42
1006,train,42
1007,train,42
1008,train,42
1009,test,42
1010,test,42
1011,train,42
1012,train,42
1013,train,42
1014,train,42
1015,test,42
1016,train,42
1017,test,42
1018,train,42
1019,test,42
1020,train,42
1021,train,42
1022,train,42
1023,train,42
1024,train,42
1025,train,42
1026,train,42
1027,train,42
1028,train,42
1029,train,42
1030,train,42
1031,train,42
1032,train,42
1033,train,42
1034,train,42
1035,train,42
1036,train,42
1037,train,42
1038,train,42
1039,train,42
1040,test,42
1041,train,42
1042,train,42
1043,test,42
1044,train,42
1045,train,42
1046,train,42
1047,train,42
1048,test,42
1049,train,42
1050,train,42
1051,train,42
1052,train,42
1053,test,42
1054,train,42
1055,train,42
1056,train,42
1057,train,42
1058,train,42
1059,train,42
1060,train,42
1061,test,42
1062,test,42
1063,train,42
1064,train,42
1065,test,42
1066,test,42
1067,test,42
1068,train,42
1069,train,42
1070,test,42
1071,train,42
1072,train,42
1073,test,42
1074,train,42
1075,train,42
1076,test,42
1077,train,42
1078,train,42
1079,test,42
1080,train,42
1081,train,42
1082,test,42
1083,train,42
1084,train,42
1085,train,42
1086,test,42
1087,train,42
1088,train,42
1089,test,42
1090,test,42
1091,train,42
1092,train,42
1093,train,42
1094,train,42
1095,train,42
1096,train,42
1097,train,42
1098,train,42
1099,train,42
1100,train,42
1101,test,42
1102,test,42
1103,train,42
1104,train,42
1105,test,42
1106,train,42
1107,train,42
1108,train,42
1109,test,42
1110,train,42
1111,test,42
1112,train,42
1113,train,42
1114,train,42
1115,test,42
1116,train,42
1117,train,42
1118,train,42
1119,test,42
1120,test,42
1121,test,42
1122,train,42
1123,train,42
1124,train,42
1125,train,42
1126,train,42
1127,train,42
1128,train,42
1129,train,42
1130,test,42
1131,train,42
1132,train,42
1133,train,42
1134,test,42
1135,train,42
1136,train,42
1137,train,42
1138,train,42
1139,train,42
1140,train,42
1141,train,42
1142,train,42
1143,train,42
1144,train,42
1145,test,42
1146,test,42
1147,train,42
1148,train,42
1149,train,42
1150,test,42
1151,train,42
1152,test,42
1153,train,42
1154,train,42
1155,test,42
1156,train,42
1157,test,42
1158,train,42
1159,train,42
1160,train,42
1161,test,42
1162,train,42
1163,train,42
1164,train,42
1165,test,42
1166,test,42
1167,train,42
1168,test,42
1169,train,42
1170,train,42
1171,train,42
1172,train,42
1173,train,42
1174,train,42
1175,test,42
1176,test,42
1177,train,42
1178,train,42
1179,train,42
1180,train,42
1181,test,42
1182,train,42
1183,train,42
1184,train,42
1185,test,42
1186,train,42
1187,train,42
1188,train,42
1189,train,42
1190,test,42
1191,train,42
1192,train,42
1193,train,42
1194,train,42
1195,train,42
1196,test,42
1197,train,42
1198,train,42
1199,test,42
1200,train,42
1201,train,42
1202,train,42
1203,train,42
1204,train,42
1205,test,42
1206,train,42
1207,test,42
1208,train,42
1209,train,42
1210,test,42
1211,train,42
1212,train,42
1213,train,42
1214,train,42
1215,test,42
1216,test,42
1217,train,42
1218,train,42
1219,train,42
1220,train,42
1221,train,42
1222,train,42
1223,train,42
1224,test,42
1225,train,42
1226,train,42
1227,test,42
1228,train,42
1229,train,42
1230,test,42
1231,test,42
1232,test,42
1233,train,42
1234,train,42
1235,train,42
1236,train,42
1237,train,42
1238,train,42
1239,train,42
1240,train,42
1241,train,42
1242,train,42
1243,train,42
1244,train,42
1245,train,42
1246,train,42
1247,test,42
1248,test,42
1249,train,42
1250,test,42
1251,train,42
1252,train,42
1253,train,42
1254,train,42
1255,train,42
1256,train,42
1257,train,42
1258,train,42
1259,train,42
1260,train,42
1261,train,42
1262,train,42
1263,train,42
1264,train,42
1265,train,42
1266,test,42
1267,train,42
1268,train,42
1269,train,42
1270,train,42
1271,train,42
1272,train,42
1273,test,42
1274,train,42
1275,train,42
1276,train,42
1277,train,42
1278,test,42
1279,train,42
1280,train,42
1281,train,42
1282,train,42
1283,train,42
1284,train,42
1285,train,42
1286,train,42
1287,train,42
1288,train,42
1289,test,42
1290,train,42
1291,test,42
1292,train,42
1293,test,42
1294,test,42
1295,train,42
1296,train,42
1297,train,42
1298,train,42
1299,test,42
1300,train,42
1301,test,42
1302,train,42
1303,train,42
1304,train,42
1305,train,42
1306,train,42
1307,train,42
1308,train,42
1309,train,42
1310,train,42
1311,train,42
1312,train,42
1313,train,42
1314,train,42
1315,test,42
1316,train,42
1317,train,42
1318,train,42
1319,train,42
1320,test,42
1321,train,42
1322,train,42
1323,train,42
1324,train,42
1325,train,42
1326,train,42
1327,train,42
1328,train,42
1329,train,42
1330,train,42
1331,train,42
1332,train,42
1333,train,42
1334,train,42
1335,train,42
1336,train,42
1337,train,42
1338,train,42
1339,train,42
1340,train,42
1341,test,42
1342,train,42
1343,train,42
1344,train,42
1345,train,42
1346,train,42
1347,train,42
1348,test,42
1349,train,42
1350,train,42
1351,train,42
1352,train,42
1353,train,42
1354,train,42
1355,train,42
1356,train,42
1357,train,42
1358,train,42
1359,train,42
1360,train,42
1361,train,42
1362,train,42
1363,train,42
1364,test,42
1365,train,42
1366,train,42
1367,train,42
1368,train,42
1369,train,42
1370,train,42
1371,train,42
1372,test,42
1373,train,42
1374,test,42
1375,train,42
1376,train,42
1377,train,42
1378,test,42
1379,train,42
1380,train,42
1381,test,42
1382,train,42
1383,train,42
1384,train,42
1385,train,42
1386,train,42
1387,test,42
1388,train,42
1389,train,42
1390,train,42
1391,train,42
1392,train,42
1393,train,42
1394,train,42
1395,test,42
1396,train,42
1397,test,42
1398,train,42
1399,train,42
1400,train,42
1401,train,42
1402,test,42
1403,train,42
1404,train,42
1405,train,42
1406,train,42
1407,train,42
1408,train,42
1409,train,42
1410,train,42
1411,train,42
1412,train,42
1413,test,42
1414,train,42
1415,train,42
1416,test,42
1417,train,42
1418,train,42
1419,train,42
1420,train,42
1421,train,42
1422,train,42
1423,train,42
1424,train,42
1425,train,42
1426,train,42
1427,train,42
1428,test,42
1429,train,42
1430,train,42
1431,train,42
1432,train,42
1433,train,42
1434,train,42
1435,test,42
1436,train,42
1437,train,42
1438,train,42
1439,train,42
1440,train,42
1441,train,42
1442,train,42
1443,train,42
1444,train,42
1445,train,42
1446,train,42
1447,train,42
1448,train,42
1449,train,42
1450,train,42
1451,train,42
1452,test,42
1453,train,42
1454,test,42
1455,train,42
1456,train,42
1457,train,42
1458,train,42
1459,train,42
1460,train,42
1461,train,42
1462,train,42
1463,train,42
1464,train,42
1465,train,42
1466,train,42
1467,train,42
1468,train,42
1469,train,42
1470,train,42
1471,train,42
1472,train,42
1473,train,42
1474,train,42
1475,train,42
1476,train,42
1477,train,42
1478,train,42
1479,train,42
1480,train,42
1481,train,42
1482,train,42
1483,train,42
1484,test,42
1485,train,42
1486,train,42
1487,train,42
1488,train,42
1489,train,42
1490,train,42
1491,train,42
1492,train,42
1493,train,42
1494,train,42
1495,test,42
1496,test,42
1497,train,42
1498,train,42
1499,train,42
1500,test,42
1501,test,42
1502,train,42
1503,test,42
1504,train,42
1505,train,42
1506,train,42
1507,train,42
1508,train,42
1509,train,42
1510,test,42
1511,test,42
1512,train,42
1513,train,42
1514,train,42
1515,train,42
1516,train,42
1517,train,42
1518,train,42
1519,train,42
1520,test,42
1521,train,42
1522,train,42
1523,train,42
1524,train,42
1525,test,42
1526,train,42
1527,train,42
1528,train,42
1529,test,42
1530,train,42
1531,test,42
1532,train,42
1533,train,42
1534,train,42
1535,train,42
1536,train,42
1537,train,42
1538,train,42
1539,train,42
1540,train,42
1541,train,42
1542,train,42
1543,train,42
1544,train,42
1545,train,42
1546,train,42
1547,train,42
1548,test,42
1549,train,42
1550,train,42
1551,test,42
1552,test,42
1553,test,42
1554,train,42
1555,train,42
1556,train,42
1557,train,42
1558,train,42
1559,train,42
1560,train,42
1561,train,42
1562,train,42
1563,train,42
1564,train,42
1565,train,42
1566,train,42
1567,train,42
1568,train,42
1569,train,42
1570,train,42
1571,train,42
1572,test,42
1573,train,42
1574,train,42
1575,test,42
1576,train,42
1577,train,42
1578,train,42
1579,train,42
1580,train,42
1581,train,42
1582,test,42
1583,test,42
1584,train,42
1585,test,42
1586,test,42
1587,train,42
1588,train,42
1589,train,42
1590,train,42
1591,train,42
1592,train,42
1593,train,42
1594,test,42
1595,train,42
1596,test,42
1597,train,42
1598,train,42
1599,train,42
1600,train,42
1601,train,42
1602,train,42
1603,train,42
1604,train,42
1605,train,42
1606,train,42
1607,test,42
1608,train,42
1609,train,42
1610,train,42
1611,train,42
1612,train,42
1613,train,42
1614,train,42
1615,test,42
1616,test,42
1617,train,42
1618,test,42
1619,train,42
1620,train,42
1621,train,42
1622,train,42
1623,train,42
1624,train,42
1625,train,42
1626,train,42
1627,train,42
1628,train,42
1629,test,42
1630,train,42
1631,train,42
1632,train,42
1633,train,42
1634,train,42
1635,train,42
1636,train,42
1637,train,42
1638,train,42
1639,train,42
1640,train,42
1641,train,42
1642,train,42
1643,train,42
1644,test,42
1645,train,42
1646,train,42
1647,train,42
1648,train,42
1649,test,42
1650,test,42
1651,train,42
1652,test,42
1653,train,42
1654,train,42
1655,train,42
1656,train,42
1657,train,42
1658,train,42
1659,train,42
1660,train,42
1661,train,42
1662,train,42
1663,train,42
1664,train,42
1665,train,42
1666,test,42
1667,train,42
1668,train,42
1669,train,42
1670,train,42
1671,train,42
1672,train,42
1673,train,42
1674,train,42
1675,train,42
1676,train,42
1677,train,42
1678,train,42
1679,train,42
1680,train,42
1681,train,42
1682,train,42
1683,train,42
1684,test,42
1685,train,42
1686,train,42
1687,train,42
1688,train,42
1689,train,42
1690,train,42
1691,test,42
1692,train,42
1693,train,42
1694,test,42
1695,train,42
1696,train,42
1697,train,42
1698,train,42
1699,train,42
1700,train,42
1701,test,42
1702,train,42
1703,train,42
1704,train,42
1705,train,42
1706,test,42
1707,train,42
1708,train,42
1709,train,42
1710,train,42
1711,train,42
1712,test,42
