sample_id,split,landslide_px,asc_pre_bad_pct,asc_pre_c0,asc_pre_c1,asc_pre_c2,asc_pre_c3,desc_pre_bad_pct,desc_pre_c0,desc_pre_c1,desc_pre_c2,desc_pre_c3,asc_post_bad_pct,asc_post_c0,asc_post_c1,asc_post_c2,asc_post_c3,desc_post_bad_pct,desc_post_c0,desc_post_c1,desc_post_c2,desc_post_c3,asc_pre_src,desc_pre_src,asc_post_src,desc_post_src,opt_pre_src,opt_post_src,ann_src
10,train,271,1.404,16154,230,0,0,10.4,14680,1704,0,0,1.404,16154,230,0,0,10.4,14680,1704,0,0,Pre_event/S1_ASC_20210805/10.tif,Pre_event/S1_DESC_20210803/10.tif,Post_event/S1_ASC_20210817/10.tif,Post_event/S1_DESC_20210815/10.tif,Pre_event/S2_20210804/10.tif,Post_event/S2_20210814/10.tif,Annotations/10.tif
11,train,506,2.014,16054,330,0,0,5.774,15438,946,0,0,2.014,16054,330,0,0,5.774,15438,946,0,0,Pre_event/S1_ASC_20210805/11.tif,Pre_event/S1_DESC_20210803/11.tif,Post_event/S1_ASC_20210817/11.tif,Post_event/S1_DESC_20210815/11.tif,Pre_event/S2_20210804/11.tif,Post_event/S2_20210814/11.tif,Annotations/11.tif
12,train,355,6.598,15303,1075,6,0,9.332,14855,1504,25,0,6.598,15303,1075,6,0,9.332,14855,1504,25,0,Pre_event/S1_ASC_20210805/12.tif,Pre_event/S1_DESC_20210803/12.tif,Post_event/S1_ASC_20210817/12.tif,Post_event/S1_DESC_20210815/12.tif,Pre_event/S2_20210804/12.tif,Post_event/S2_20210814/12.tif,Annotations/12.tif
13,train,120,13.379,14192,2186,6,0,13.104,14237,2086,61,0,13.379,14192,2186,6,0,13.104,14237,2086,61,0,Pre_event/S1_ASC_20210805/13.tif,Pre_event/S1_DESC_20210803/13.tif,Post_event/S1_ASC_20210817/13.tif,Post_event/S1_DESC_20210815/13.tif,Pre_event/S2_20210804/13.tif,Post_event/S2_20210814/13.tif,Annotations/13.tif
14,train,208,1.178,16191,189,4,0,7.172,15209,1175,0,0,1.178,16191,189,4,0,7.172,15209,1175,0,0,Pre_event/S1_ASC_20210805/14.tif,Pre_event/S1_DESC_20210803/14.tif,Post_event/S1_ASC_20210817/14.tif,Post_event/S1_DESC_20210815/14.tif,Pre_event/S2_20210804/14.tif,Post_event/S2_20210814/14.tif,Annotations/14.tif
15,val,549,8.807,14941,1439,4,0,7.446,15164,1182,38,0,8.807,14941,1439,4,0,7.446,15164,1182,38,0,Pre_event/S1_ASC_20210805/15.tif,Pre_event/S1_DESC_20210803/15.tif,Post_event/S1_ASC_20210817/15.tif,Post_event/S1_DESC_20210815/15.tif,Pre_event/S2_20210804/15.tif,Post_event/S2_20210814/15.tif,Annotations/15.tif
16,train,568,15.118,13907,2477,0,0,7.642,15132,1214,38,0,15.118,13907,2477,0,0,7.642,15132,1214,38,0,Pre_event/S1_ASC_20210805/16.tif,Pre_event/S1_DESC_20210803/16.tif,Post_event/S1_ASC_20210817/16.tif,Post_event/S1_DESC_20210815/16.tif,Pre_event/S2_20210804/16.tif,Post_event/S2_20210814/16.tif,Annotations/16.tif
17,train,227,18.048,13427,2957,0,0,8.307,15023,1325,36,0,18.048,13427,2957,0,0,8.307,15023,1325,36,0,Pre_event/S1_ASC_20210805/17.tif,Pre_event/S1_DESC_20210803/17.tif,Post_event/S1_ASC_20210817/17.tif,Post_event/S1_DESC_20210815/17.tif,Pre_event/S2_20210804/17.tif,Post_event/S2_20210814/17.tif,Annotations/17.tif
18,train,300,6.763,15276,1104,4,0,8.392,15009,1373,2,0,6.763,15276,1104,4,0,8.392,15009,1373,2,0,Pre_event/S1_ASC_20210805/18.tif,Pre_event/S1_DESC_20210803/18.tif,Post_event/S1_ASC_20210817/18.tif,Post_event/S1_DESC_20210815/18.tif,Pre_event/S2_20210804/18.tif,Post_event/S2_20210814/18.tif,Annotations/18.tif
19,train,458,17.828,13463,2917,4,0,7.465,15161,1183,40,0,17.828,13463,2917,4,0,7.465,15161,1183,40,0,Pre_event/S1_ASC_20210805/19.tif,Pre_event/S1_DESC_20210803/19.tif,Post_event/S1_ASC_20210817/19.tif,Post_event/S1_DESC_20210815/19.tif,Pre_event/S2_20210804/19.tif,Post_event/S2_20210814/19.tif,Annotations/19.tif
20,train,265,20.819,12973,3411,0,0,1.398,16155,191,38,0,20.819,12973,3411,0,0,1.398,16155,191,38,0,Pre_event/S1_ASC_20210805/20.tif,Pre_event/S1_DESC_20210803/20.tif,Post_event/S1_ASC_20210817/20.tif,Post_event/S1_DESC_20210815/20.tif,Pre_event/S2_20210804/20.tif,Post_event/S2_20210814/20.tif,Annotations/20.tif
21,train,107,15.094,13911,2473,0,0,0.763,16259,125,0,0,15.094,13911,2473,0,0,0.763,16259,125,0,0,Pre_event/S1_ASC_20210805/21.tif,Pre_event/S1_DESC_20210803/21.tif,Post_event/S1_ASC_20210817/21.tif,Post_event/S1_DESC_20210815/21.tif,Pre_event/S2_20210804/21.tif,Post_event/S2_20210814/21.tif,Annotations/21.tif
22,train,328,12.415,14350,2034,0,0,2.49,15976,325,83,0,12.415,14350,2034,0,0,2.49,15976,325,83,0,Pre_event/S1_ASC_20210805/22.tif,Pre_event/S1_DESC_20210803/22.tif,Post_event/S1_ASC_20210817/22.tif,Post_event/S1_DESC_20210815/22.tif,Pre_event/S2_20210804/22.tif,Post_event/S2_20210814/22.tif,Annotations/22.tif
23,test,328,11.121,14562,1822,0,0,1.868,16078,223,83,0,11.121,14562,1822,0,0,1.868,16078,223,83,0,Pre_event/S1_ASC_20210805/23.tif,Pre_event/S1_DESC_20210803/23.tif,Post_event/S1_ASC_20210817/23.tif,Post_event/S1_DESC_20210815/23.tif,Pre_event/S2_20210804/23.tif,Post_event/S2_20210814/23.tif,Annotations/23.tif
24,train,380,15.802,13795,2589,0,0,2.49,15976,325,83,0,15.802,13795,2589,0,0,2.49,15976,325,83,0,Pre_event/S1_ASC_20210805/24.tif,Pre_event/S1_DESC_20210803/24.tif,Post_event/S1_ASC_20210817/24.tif,Post_event/S1_DESC_20210815/24.tif,Pre_event/S2_20210804/24.tif,Post_event/S2_20210814/24.tif,Annotations/24.tif
25,train,328,11.652,14475,1909,0,0,1.868,16078,223,83,0,11.652,14475,1909,0,0,1.868,16078,223,83,0,Pre_event/S1_ASC_20210805/25.tif,Pre_event/S1_DESC_20210803/25.tif,Post_event/S1_ASC_20210817/25.tif,Post_event/S1_DESC_20210815/25.tif,Pre_event/S2_20210804/25.tif,Post_event/S2_20210814/25.tif,Annotations/25.tif
26,train,180,22.583,12684,3700,0,0,1.306,16170,212,2,0,22.583,12684,3700,0,0,1.306,16170,212,2,0,Pre_event/S1_ASC_20210805/26.tif,Pre_event/S1_DESC_20210803/26.tif,Post_event/S1_ASC_20210817/26.tif,Post_event/S1_DESC_20210815/26.tif,Pre_event/S2_20210804/26.tif,Post_event/S2_20210814/26.tif,Annotations/26.tif
27,val,184,19.305,13221,3163,0,0,1.215,16185,186,13,0,19.305,13221,3163,0,0,1.215,16185,186,13,0,Pre_event/S1_ASC_20210805/27.tif,Pre_event/S1_DESC_20210803/27.tif,Post_event/S1_ASC_20210817/27.tif,Post_event/S1_DESC_20210815/27.tif,Pre_event/S2_20210804/27.tif,Post_event/S2_20210814/27.tif,Annotations/27.tif
28,val,426,20.886,12962,3414,8,0,7.19,15206,1167,11,0,20.886,12962,3414,8,0,7.19,15206,1167,11,0,Pre_event/S1_ASC_20210805/28.tif,Pre_event/S1_DESC_20210803/28.tif,Post_event/S1_ASC_20210817/28.tif,Post_event/S1_DESC_20210815/28.tif,Pre_event/S2_20210804/28.tif,Post_event/S2_20210814/28.tif,Annotations/28.tif
29,test,516,21.545,12854,3530,0,0,1.501,16138,209,37,0,21.545,12854,3530,0,0,1.501,16138,209,37,0,Pre_event/S1_ASC_20210805/29.tif,Pre_event/S1_DESC_20210803/29.tif,Post_event/S1_ASC_20210817/29.tif,Post_event/S1_DESC_20210815/29.tif,Pre_event/S2_20210804/29.tif,Post_event/S2_20210814/29.tif,Annotations/29.tif
30,test,125,16.632,13659,2725,0,0,0.647,16278,79,27,0,16.632,13659,2725,0,0,0.647,16278,79,27,0,Pre_event/S1_ASC_20210805/30.tif,Pre_event/S1_DESC_20210803/30.tif,Post_event/S1_ASC_20210817/30.tif,Post_event/S1_DESC_20210815/30.tif,Pre_event/S2_20210804/30.tif,Post_event/S2_20210814/30.tif,Annotations/30.tif
31,train,145,6.921,15250,1134,0,0,2.814,15923,373,88,0,6.921,15250,1134,0,0,2.814,15923,373,88,0,Pre_event/S1_ASC_20210805/31.tif,Pre_event/S1_DESC_20210803/31.tif,Post_event/S1_ASC_20210817/31.tif,Post_event/S1_DESC_20210815/31.tif,Pre_event/S2_20210804/31.tif,Post_event/S2_20210814/31.tif,Annotations/31.tif
32,test,255,9.485,14830,1554,0,0,13.904,14106,2267,11,0,9.485,14830,1554,0,0,13.904,14106,2267,11,0,Pre_event/S1_ASC_20210805/32.tif,Pre_event/S1_DESC_20210803/32.tif,Post_event/S1_ASC_20210817/32.tif,Post_event/S1_DESC_20210815/32.tif,Pre_event/S2_20210804/32.tif,Post_event/S2_20210814/32.tif,Annotations/32.tif
33,train,130,20.135,13085,3198,101,0,29.321,11580,4629,175,0,20.135,13085,3198,101,0,29.321,11580,4629,175,0,Pre_event/S1_ASC_20210805/33.tif,Pre_event/S1_DESC_20210803/33.tif,Post_event/S1_ASC_20210817/33.tif,Post_event/S1_DESC_20210815/33.tif,Pre_event/S2_20210804/33.tif,Post_event/S2_20210814/33.tif,Annotations/33.tif
34,train,109,4.913,15579,650,155,0,17.56,13507,2877,0,0,4.913,15579,650,155,0,17.56,13507,2877,0,0,Pre_event/S1_ASC_20210805/34.tif,Pre_event/S1_DESC_20210803/34.tif,Post_event/S1_ASC_20210817/34.tif,Post_event/S1_DESC_20210815/34.tif,Pre_event/S2_20210804/34.tif,Post_event/S2_20210814/34.tif,Annotations/34.tif
35,val,710,9.338,14854,1412,118,0,21.759,12819,3556,9,0,9.338,14854,1412,118,0,21.759,12819,3556,9,0,Pre_event/S1_ASC_20210805/35.tif,Pre_event/S1_DESC_20210803/35.tif,Post_event/S1_ASC_20210817/35.tif,Post_event/S1_DESC_20210815/35.tif,Pre_event/S2_20210804/35.tif,Post_event/S2_20210814/35.tif,Annotations/35.tif
36,val,689,16.425,13693,2689,2,0,7.349,15180,1145,59,0,16.425,13693,2689,2,0,7.349,15180,1145,59,0,Pre_event/S1_ASC_20210805/36.tif,Pre_event/S1_DESC_20210803/36.tif,Post_event/S1_ASC_20210817/36.tif,Post_event/S1_DESC_20210815/36.tif,Pre_event/S2_20210804/36.tif,Post_event/S2_20210814/36.tif,Annotations/36.tif
37,train,151,9.753,14786,1598,0,0,2.777,15929,388,67,0,9.753,14786,1598,0,0,2.777,15929,388,67,0,Pre_event/S1_ASC_20210805/37.tif,Pre_event/S1_DESC_20210803/37.tif,Post_event/S1_ASC_20210817/37.tif,Post_event/S1_DESC_20210815/37.tif,Pre_event/S2_20210804/37.tif,Post_event/S2_20210814/37.tif,Annotations/37.tif
38,train,122,6.049,15393,991,0,0,6.775,15274,1093,17,0,6.049,15393,991,0,0,6.775,15274,1093,17,0,Pre_event/S1_ASC_20210805/38.tif,Pre_event/S1_DESC_20210803/38.tif,Post_event/S1_ASC_20210817/38.tif,Post_event/S1_DESC_20210815/38.tif,Pre_event/S2_20210804/38.tif,Post_event/S2_20210814/38.tif,Annotations/38.tif
39,val,225,5.328,15511,867,6,0,7.056,15228,1062,94,0,5.328,15511,867,6,0,7.056,15228,1062,94,0,Pre_event/S1_ASC_20210805/39.tif,Pre_event/S1_DESC_20210803/39.tif,Post_event/S1_ASC_20210817/39.tif,Post_event/S1_DESC_20210815/39.tif,Pre_event/S2_20210804/39.tif,Post_event/S2_20210814/39.tif,Annotations/39.tif
40,train,365,19.342,13215,3164,5,0,18.829,13299,3032,53,0,19.342,13215,3164,5,0,18.829,13299,3032,53,0,Pre_event/S1_ASC_20210805/40.tif,Pre_event/S1_DESC_20210803/40.tif,Post_event/S1_ASC_20210817/40.tif,Post_event/S1_DESC_20210815/40.tif,Pre_event/S2_20210804/40.tif,Post_event/S2_20210814/40.tif,Annotations/40.tif
41,val,243,42.627,9400,6929,55,0,25.214,12253,3950,181,0,42.627,9400,6929,55,0,25.214,12253,3950,181,0,Pre_event/S1_ASC_20210805/41.tif,Pre_event/S1_DESC_20210803/41.tif,Post_event/S1_ASC_20210817/41.tif,Post_event/S1_DESC_20210815/41.tif,Pre_event/S2_20210804/41.tif,Post_event/S2_20210814/41.tif,Annotations/41.tif
42,train,136,53.406,7634,8631,119,0,23.706,12500,3475,321,88,53.406,7634,8631,119,0,23.706,12500,3475,321,88,Pre_event/S1_ASC_20210805/42.tif,Pre_event/S1_DESC_20210803/42.tif,Post_event/S1_ASC_20210817/42.tif,Post_event/S1_DESC_20210815/42.tif,Pre_event/S2_20210804/42.tif,Post_event/S2_20210814/42.tif,Annotations/42.tif
43,train,147,11.633,14478,1763,143,0,10.272,14701,1683,0,0,11.633,14478,1763,143,0,10.272,14701,1683,0,0,Pre_event/S1_ASC_20210805/43.tif,Pre_event/S1_DESC_20210803/43.tif,Post_event/S1_ASC_20210817/43.tif,Post_event/S1_DESC_20210815/43.tif,Pre_event/S2_20210804/43.tif,Post_event/S2_20210814/43.tif,Annotations/43.tif
44,test,753,10.736,14625,1649,110,0,17.23,13561,2809,14,0,10.736,14625,1649,110,0,17.23,13561,2809,14,0,Pre_event/S1_ASC_20210805/44.tif,Pre_event/S1_DESC_20210803/44.tif,Post_event/S1_ASC_20210817/44.tif,Post_event/S1_DESC_20210815/44.tif,Pre_event/S2_20210804/44.tif,Post_event/S2_20210814/44.tif,Annotations/44.tif
45,train,747,12.225,14381,2001,2,0,11.633,14478,1802,104,0,12.225,14381,2001,2,0,11.633,14478,1802,104,0,Pre_event/S1_ASC_20210805/45.tif,Pre_event/S1_DESC_20210803/45.tif,Post_event/S1_ASC_20210817/45.tif,Post_event/S1_DESC_20210815/45.tif,Pre_event/S2_20210804/45.tif,Post_event/S2_20210814/45.tif,Annotations/45.tif
46,train,169,17.072,13587,2797,0,0,12.524,14332,1924,128,0,17.072,13587,2797,0,0,12.524,14332,1924,128,0,Pre_event/S1_ASC_20210805/46.tif,Pre_event/S1_DESC_20210803/46.tif,Post_event/S1_ASC_20210817/46.tif,Post_event/S1_DESC_20210815/46.tif,Pre_event/S2_20210804/46.tif,Post_event/S2_20210814/46.tif,Annotations/46.tif
47,val,122,3.302,15843,541,0,0,9.576,14815,1569,0,0,3.302,15843,541,0,0,9.576,14815,1569,0,0,Pre_event/S1_ASC_20210805/47.tif,Pre_event/S1_DESC_20210803/47.tif,Post_event/S1_ASC_20210817/47.tif,Post_event/S1_DESC_20210815/47.tif,Pre_event/S2_20210804/47.tif,Post_event/S2_20210814/47.tif,Annotations/47.tif
48,train,115,13.287,14207,2171,6,0,6.036,15395,955,34,0,13.287,14207,2171,6,0,6.036,15395,955,34,0,Pre_event/S1_ASC_20210805/48.tif,Pre_event/S1_DESC_20210803/48.tif,Post_event/S1_ASC_20210817/48.tif,Post_event/S1_DESC_20210815/48.tif,Pre_event/S2_20210804/48.tif,Post_event/S2_20210814/48.tif,Annotations/48.tif
49,test,382,44.244,9135,7244,5,0,11.383,14519,1680,185,0,44.244,9135,7244,5,0,11.383,14519,1680,185,0,Pre_event/S1_ASC_20210805/49.tif,Pre_event/S1_DESC_20210803/49.tif,Post_event/S1_ASC_20210817/49.tif,Post_event/S1_DESC_20210815/49.tif,Pre_event/S2_20210804/49.tif,Post_event/S2_20210814/49.tif,Annotations/49.tif
50,train,406,64.789,5769,10615,0,0,13.641,14149,1906,329,0,64.789,5769,10615,0,0,13.641,14149,1906,329,0,Pre_event/S1_ASC_20210805/50.tif,Pre_event/S1_DESC_20210803/50.tif,Post_event/S1_ASC_20210817/50.tif,Post_event/S1_DESC_20210815/50.tif,Pre_event/S2_20210804/50.tif,Post_event/S2_20210814/50.tif,Annotations/50.tif
51,test,139,46.796,8717,7666,1,0,15.045,13919,2163,302,0,46.796,8717,7666,1,0,15.045,13919,2163,302,0,Pre_event/S1_ASC_20210805/51.tif,Pre_event/S1_DESC_20210803/51.tif,Post_event/S1_ASC_20210817/51.tif,Post_event/S1_DESC_20210815/51.tif,Pre_event/S2_20210804/51.tif,Post_event/S2_20210814/51.tif,Annotations/51.tif
52,train,175,6.195,15369,1015,0,0,1.465,16144,240,0,0,6.195,15369,1015,0,0,1.465,16144,240,0,0,Pre_event/S1_ASC_20210805/52.tif,Pre_event/S1_DESC_20210803/52.tif,Post_event/S1_ASC_20210817/52.tif,Post_event/S1_DESC_20210815/52.tif,Pre_event/S2_20210804/52.tif,Post_event/S2_20210814/52.tif,Annotations/52.tif
53,train,243,3.613,15792,592,0,0,0.58,16289,83,12,0,3.613,15792,592,0,0,0.58,16289,83,12,0,Pre_event/S1_ASC_20210805/53.tif,Pre_event/S1_DESC_20210803/53.tif,Post_event/S1_ASC_20210817/53.tif,Post_event/S1_DESC_20210815/53.tif,Pre_event/S2_20210804/53.tif,Post_event/S2_20210814/53.tif,Annotations/53.tif
54,val,289,15.9,13779,2601,4,0,9.991,14747,1545,92,0,15.9,13779,2601,4,0,9.991,14747,1545,92,0,Pre_event/S1_ASC_20210805/54.tif,Pre_event/S1_DESC_20210803/54.tif,Post_event/S1_ASC_20210817/54.tif,Post_event/S1_DESC_20210815/54.tif,Pre_event/S2_20210804/54.tif,Post_event/S2_20210814/54.tif,Annotations/54.tif
55,train,397,22.614,12679,3705,0,0,6.976,15241,967,176,0,22.614,12679,3705,0,0,6.976,15241,967,176,0,Pre_event/S1_ASC_20210805/55.tif,Pre_event/S1_DESC_20210803/55.tif,Post_event/S1_ASC_20210817/55.tif,Post_event/S1_DESC_20210815/55.tif,Pre_event/S2_20210804/55.tif,Post_event/S2_20210814/55.tif,Annotations/55.tif
56,train,355,44.83,9039,7345,0,0,10.333,14691,1573,120,0,44.83,9039,7345,0,0,10.333,14691,1573,120,0,Pre_event/S1_ASC_20210805/56.tif,Pre_event/S1_DESC_20210803/56.tif,Post_event/S1_ASC_20210817/56.tif,Post_event/S1_DESC_20210815/56.tif,Pre_event/S2_20210804/56.tif,Post_event/S2_20210814/56.tif,Annotations/56.tif
57,train,324,52.692,7751,8633,0,0,7.324,15184,1145,55,0,52.692,7751,8633,0,0,7.324,15184,1145,55,0,Pre_event/S1_ASC_20210805/57.tif,Pre_event/S1_DESC_20210803/57.tif,Post_event/S1_ASC_20210817/57.tif,Post_event/S1_DESC_20210815/57.tif,Pre_event/S2_20210804/57.tif,Post_event/S2_20210814/57.tif,Annotations/57.tif
58,train,241,27.893,11814,4570,0,0,5.231,15527,838,19,0,27.893,11814,4570,0,0,5.231,15527,838,19,0,Pre_event/S1_ASC_20210805/58.tif,Pre_event/S1_DESC_20210803/58.tif,Post_event/S1_ASC_20210817/58.tif,Post_event/S1_DESC_20210815/58.tif,Pre_event/S2_20210804/58.tif,Post_event/S2_20210814/58.tif,Annotations/58.tif
59,test,126,8.356,15015,1354,15,0,7.41,15170,1214,0,0,8.356,15015,1354,15,0,7.41,15170,1214,0,0,Pre_event/S1_ASC_20210805/59.tif,Pre_event/S1_DESC_20210803/59.tif,Post_event/S1_ASC_20210817/59.tif,Post_event/S1_DESC_20210815/59.tif,Pre_event/S2_20210804/59.tif,Post_event/S2_20210814/59.tif,Annotations/59.tif
60,train,218,35.706,10534,5840,10,0,18.353,13377,2881,126,0,35.706,10534,5840,10,0,18.353,13377,2881,126,0,Pre_event/S1_ASC_20210805/60.tif,Pre_event/S1_DESC_20210803/60.tif,Post_event/S1_ASC_20210817/60.tif,Post_event/S1_DESC_20210815/60.tif,Pre_event/S2_20210804/60.tif,Post_event/S2_20210814/60.tif,Annotations/60.tif
61,val,609,56.342,7153,9222,9,0,10.675,14635,1574,175,0,56.342,7153,9222,9,0,10.675,14635,1574,175,0,Pre_event/S1_ASC_20210805/61.tif,Pre_event/S1_DESC_20210803/61.tif,Post_event/S1_ASC_20210817/61.tif,Post_event/S1_DESC_20210815/61.tif,Pre_event/S2_20210804/61.tif,Post_event/S2_20210814/61.tif,Annotations/61.tif
62,train,443,53.284,7654,8724,6,0,7.69,15124,913,347,0,53.284,7654,8724,6,0,7.69,15124,913,347,0,Pre_event/S1_ASC_20210805/62.tif,Pre_event/S1_DESC_20210803/62.tif,Post_event/S1_ASC_20210817/62.tif,Post_event/S1_DESC_20210815/62.tif,Pre_event/S2_20210804/62.tif,Post_event/S2_20210814/62.tif,Annotations/62.tif
63,val,606,41.431,9596,6788,0,0,5.17,15537,378,469,0,41.431,9596,6788,0,0,5.17,15537,378,469,0,Pre_event/S1_ASC_20210805/63.tif,Pre_event/S1_DESC_20210803/63.tif,Post_event/S1_ASC_20210817/63.tif,Post_event/S1_DESC_20210815/63.tif,Pre_event/S2_20210804/63.tif,Post_event/S2_20210814/63.tif,Annotations/63.tif
64,train,611,20.557,13016,3368,0,0,7.306,15187,1024,173,0,20.557,13016,3368,0,0,7.306,15187,1024,173,0,Pre_event/S1_ASC_20210805/64.tif,Pre_event/S1_DESC_20210803/64.tif,Post_event/S1_ASC_20210817/64.tif,Post_event/S1_DESC_20210815/64.tif,Pre_event/S2_20210804/64.tif,Post_event/S2_20210814/64.tif,Annotations/64.tif
65,test,172,10.535,14658,1726,0,0,14.679,13979,2403,2,0,10.535,14658,1726,0,0,14.679,13979,2403,2,0,Pre_event/S1_ASC_20210805/65.tif,Pre_event/S1_DESC_20210803/65.tif,Post_event/S1_ASC_20210817/65.tif,Post_event/S1_DESC_20210815/65.tif,Pre_event/S2_20210804/65.tif,Post_event/S2_20210814/65.tif,Annotations/65.tif
66,train,585,29.877,11489,4887,8,0,33.386,10914,5338,132,0,29.877,11489,4887,8,0,33.386,10914,5338,132,0,Pre_event/S1_ASC_20210805/66.tif,Pre_event/S1_DESC_20210803/66.tif,Post_event/S1_ASC_20210817/66.tif,Post_event/S1_DESC_20210815/66.tif,Pre_event/S2_20210804/66.tif,Post_event/S2_20210814/66.tif,Annotations/66.tif
67,test,622,31.647,11199,5177,8,0,35.498,10568,5664,152,0,31.647,11199,5177,8,0,35.498,10568,5664,152,0,Pre_event/S1_ASC_20210805/67.tif,Pre_event/S1_DESC_20210803/67.tif,Post_event/S1_ASC_20210817/67.tif,Post_event/S1_DESC_20210815/67.tif,Pre_event/S2_20210804/67.tif,Post_event/S2_20210814/67.tif,Annotations/67.tif
68,val,212,11.499,14500,1883,1,0,25.336,12233,4131,20,0,11.499,14500,1883,1,0,25.336,12233,4131,20,0,Pre_event/S1_ASC_20210805/68.tif,Pre_event/S1_DESC_20210803/68.tif,Post_event/S1_ASC_20210817/68.tif,Post_event/S1_DESC_20210815/68.tif,Pre_event/S2_20210804/68.tif,Post_event/S2_20210814/68.tif,Annotations/68.tif
69,test,203,5.573,15471,913,0,0,4.126,15708,674,2,0,5.573,15471,913,0,0,4.126,15708,674,2,0,Pre_event/S1_ASC_20210805/69.tif,Pre_event/S1_DESC_20210803/69.tif,Post_event/S1_ASC_20210817/69.tif,Post_event/S1_DESC_20210815/69.tif,Pre_event/S2_20210804/69.tif,Post_event/S2_20210814/69.tif,Annotations/69.tif
